Data,Zatrzymani na gorącym uczynku,Zatrzymani poszukiwani,Zatrzymani nietrzeźwi kierujący,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach
02.08.2011,905,207,430,91,7,102
01.08.2011,819,196,410,103,15,136
31.07.2011,973,86,540,99,18,155
30.07.2011,936,116,518,120,16,154
29.07.2011,821,195,431,88,6,98
28.07.2011,769,204,354,89,6,100
27.07.2011,828,250,377,107,12,139
26.07.2011,725,189,386,97,7,125
25.07.2011,874,175,459,87,10,99
24.07.2011,1065,123,601,78,3,114
23.07.2011,910,152,502,109,12,153
22.07.2011,793,188,389,99,18,126
21.07.2011,816,202,379,112,7,149
20.07.2011,877,208,407,105,10,124
19.07.2011,972,207,433,77,3,95
18.07.2011,985,206,579,122,15,156
17.07.2011,1261,125,771,100,18,122
16.07.2011,1026,130,564,105,11,132
15.07.2011,920,244,512,122,11,154
14.07.2011,970,224,495,104,9,135
13.07.2011,1023,233,523,114,7,142
12.07.2011,1035,246,503,99,7,115
11.07.2011,1015,180,563,127,17,180
10.07.2011,1353,136,857,103,10,129
09.07.2011,1261,135,751,102,11,128
08.07.2011,1044,215,539,115,8,150
07.07.2011,984,218,507,81,3,95
06.07.2011,913,268,467,83,10,121
05.07.2011,945,222,452,85,12,96
04.07.2011,850,200,454,107,15,155
03.07.2011,1104,144,613,100,5,159
02.07.2011,894,163,518,121,11,174
01.07.2011,789,206,380,108,14,122
30.06.2011,876,247,420,110,12,132
29.06.2011,983,247,443,95,7,100
28.06.2011,963,334,393,113,5,146
27.06.2011,967,274,557,98,7,124
26.06.2011,1054,157,619,96,22,127
25.06.2011,976,158,587,86,15,118
24.06.2011,982,286,534,114,10,139
23.06.2011,992,190,582,93,13,111
22.06.2011,939,386,501,136,11,155
21.06.2011,849,446,407,112,11,133
20.06.2011,926,301,478,123,11,207
19.06.2011,1176,191,634,120,16,146
18.06.2011,1077,227,641,118,11,146
17.06.2011,1073,368,601,124,7,132
16.06.2011,1004,516,521,110,5,118
15.06.2011,1008,408,503,110,18,152
14.06.2011,1046,412,490,118,13,145
13.06.2011,1194,357,694,118,14,134
12.06.2011,1187,206,720,113,11,144
11.06.2011,1206,204,695,121,14,136
10.06.2011,958,416,487,88,5,113
09.06.2011,930,405,438,105,10,136
08.06.2011,1069,460,489,122,14,132
07.06.2011,1010,398,483,117,8,137
06.06.2011,1378,340,826,149,23,173
05.06.2011,1264,177,766,144,14,196
04.06.2011,1151,197,670,156,12,211
03.06.2011,956,363,465,112,7,133
02.06.2011,1093,421,517,92,12,109
01.06.2011,935,349,449,119,13,142
31.05.2011,862,453,410,111,9,123
30.05.2011,891,327,481,118,8,145
29.05.2011,1085,210,582,117,12,173
28.05.2011,1092,204,553,117,15,148
27.05.2011,1056,416,534,114,5,139
26.05.2011,873,472,392,129,6,169
25.05.2011,923,402,426,99,14,106
24.05.2011,898,512,409,125,8,148
23.05.2011,932,363,499,117,7,133
22.05.2011,1152,185,662,129,17,171
21.05.2011,1044,203,588,115,18,138
20.05.2011,985,358,498,114,6,124
19.05.2011,945,495,433,102,12,111
18.05.2011,853,423,433,99,9,116
17.05.2011,864,437,398,89,7,113
16.05.2011,1006,390,573,111,9,176
15.05.2011,901,149,504,83,9,130
14.05.2011,1026,182,557,119,8,147
13.05.2011,992,385,487,96,9,104
12.05.2011,1003,442,475,127,13,146
11.05.2011,1010,349,459,130,6,148
10.05.2011,908,351,422,104,9,124
09.05.2011,975,347,514,118,13,144
08.05.2011,953,151,554,105,12,160
07.05.2011,944,179,524,122,9,146
06.05.2011,831,304,387,90,9,109
05.05.2011,762,343,334,79,11,98
04.05.2011,747,288,354,80,11,94
03.05.2011,701,149,349,60,4,92
02.05.2011,827,222,439,81,9,102
01.05.2011,1001,161,585,60,8,96
30.04.2011,970,156,468,118,13,146
29.04.2011,926,342,427,101,7,111
28.04.2011,882,414,391,77,7,84
27.04.2011,834,453,344,75,4,102
26.04.2011,959,453,549,87,12,110
25.04.2011,736,140,414,80,4,107
24.04.2011,732,116,398,64,10,86
23.04.2011,1019,221,573,102,10,126
22.04.2011,1048,498,491,133,11,149
21.04.2011,1032,423,488,127,12,152
20.04.2011,920,378,431,133,11,152
19.04.2011,1470,393,371,91,7,108
18.04.2011,1017,324,519,108,8,131
17.04.2011,1035,160,578,91,12,109
16.04.2011,1098,187,563,109,11,133
15.04.2011,948,357,422,105,8,120
14.04.2011,915,392,417,92,5,109
13.04.2011,846,367,340,88,9,96
12.04.2011,858,409,370,75,6,88
11.04.2011,929,329,465,83,9,104
10.04.2011,964,189,503,70,14,106
09.04.2011,1004,191,497,75,5,96
08.04.2011,849,383,330,87,12,98
07.04.2011,844,399,350,83,10,101
06.04.2011,961,390,371,70,6,73
05.04.2011,890,404,353,78,8,93
04.04.2011,917,304,457,93,8,115
03.04.2011,1063,163,577,85,9,132
02.04.2011,1055,175,547,78,3,123
01.04.2011,898,352,421,111,8,124
31.03.2011,1043,478,441,78,7,84
30.03.2011,1020,491,429,87,6,103
29.03.2011,858,433,356,70,8,78
28.03.2011,847,337,385,55,6,72
27.03.2011,871,173,448,54,1,67
26.03.2011,978,216,474,84,16,100
25.03.2011,995,423,396,67,8,73
24.03.2011,919,427,358,69,5,79
23.03.2011,956,445,376,54,1,61
22.03.2011,936,418,391,59,5,67
21.03.2011,929,381,382,72,9,80
20.03.2011,1085,178,575,66,9,88
19.03.2011,1113,171,585,68,4,84
18.03.2011,846,442,352,93,6,118
17.03.2011,865,464,324,81,6,98
16.03.2011,942,442,382,66,4,82
15.03.2011,954,411,393,74,7,83
14.03.2011,1084,409,532,69,6,87
13.03.2011,1017,194,499,78,16,99
12.03.2011,1035,222,463,97,15,115
11.03.2011,936,431,376,87,5,111
10.03.2011,905,449,317,83,3,96
09.03.2011,1101,563,457,61,8,65
08.03.2011,952,390,415,63,9,68
07.03.2011,889,430,396,78,4,82
06.03.2011,927,183,452,67,12,99
05.03.2011,960,198,421,83,6,106
04.03.2011,942,397,385,82,8,96
03.03.2011,951,492,363,71,4,79
02.03.2011,910,448,317,66,8,73
01.03.2011,898,353,341,68,6,79
28.02.2011,735,337,273,73,3,82
27.02.2011,834,183,386,65,10,96
26.02.2011,783,208,345,67,6,89
25.02.2011,683,428,248,61,8,80
24.02.2011,696,480,200,57,3,69
23.02.2011,700,438,230,62,8,77
22.02.2011,622,478,203,52,5,57
21.02.2011,664,389,271,57,5,71
20.02.2011,705,148,331,57,6,82
19.02.2011,850,185,362,86,13,98
18.02.2011,839,427,303,90,6,120
17.02.2011,768,481,257,49,7,52
16.02.2011,762,489,260,62,4,88
15.02.2011,807,411,273,61,11,68
14.02.2011,714,341,285,68,10,72
13.02.2011,838,188,392,49,10,84
12.02.2011,855,240,408,74,10,99
11.02.2011,923,437,375,103,1,124
10.02.2011,957,423,354,80,16,93
09.02.2011,971,458,370,69,10,78
08.02.2011,913,437,302,77,6,95
07.02.2011,861,345,344,77,7,97
06.02.2011,867,198,404,65,7,87
05.02.2011,790,208,375,75,9,91
04.02.2011,815,426,277,103,9,124
03.02.2011,848,466,278,91,8,113
02.02.2011,776,468,240,94,16,117
01.02.2011,710,360,239,67,7,100
31.01.2011,640,401,240,51,8,64
30.01.2011,721,162,337,57,6,78
29.01.2011,788,205,350,57,5,75
28.01.2011,909,505,411,61,6,81
27.01.2011,780,456,238,64,8,75
26.01.2011,790,485,252,63,4,79
25.01.2011,743,423,194,77,11,97
24.01.2011,687,409,260,66,6,104
23.01.2011,719,166,310,73,4,107
22.01.2011,795,191,350,53,6,67
21.01.2011,751,394,283,87,8,113
20.01.2011,788,410,268,80,9,96
19.01.2011,791,469,261,78,8,93
18.01.2011,784,452,268,81,10,111
17.01.2011,713,378,249,111,9,152
16.01.2011,827,188,388,62,16,75
15.01.2011,665,187,298,72,7,96
14.01.2011,704,390,268,60,2,67
13.01.2011,822,433,327,59,5,76
12.01.2011,689,458,212,57,9,59
11.01.2011,685,444,237,58,1,72
10.01.2011,651,389,217,71,6,76
09.01.2011,736,212,321,46,6,61
08.01.2011,668,191,246,36,2,41
07.01.2011,540,326,153,57,4,72
06.01.2011,487,205,196,28,2,35
05.01.2011,545,433,168,57,4,72
04.01.2011,461,420,127,54,11,69
03.01.2011,560,348,218,41,2,48
02.01.2011,354,125,142,24,3,29
01.01.2011,824,126,376,37,5,46
31.12.2010,434,193,163,45,5,53
30.12.2010,497,343,139,54,5,73
29.12.2010,467,403,130,31,1,35
28.12.2010,522,429,131,38,3,47
27.12.2010,552,366,265,42,3,51
26.12.2010,450,99,227,33,2,56
25.12.2010,335,102,145,33,3,47
24.12.2010,577,17,217,59,5,73
23.12.2010,669,656,250,69,3,92
22.12.2010,659,416,199,68,6,81
21.12.2010,594,343,175,76,5,88
20.12.2010,553,350,188,69,5,79
19.12.2010,699,202,295,36,2,52
18.12.2010,697,217,306,43,4,55
17.12.2010,542,469,156,79,4,93
16.12.2010,511,436,132,67,6,71
15.12.2010,511,435,132,52,3,66
14.12.2010,469,420,130,65,3,79
13.12.2010,602,369,210,64,5,79
12.12.2010,635,179,236,55,7,66
11.12.2010,643,199,246,71,5,97
10.12.2010,637,398,206,95,15,110
09.12.2010,656,436,201,72,3,87
08.12.2010,640,422,199,83,8,107
07.12.2010,611,396,171,69,7,83
06.12.2010,604,349,258,53,4,74
05.12.2010,651,209,243,34,3,42
04.12.2010,576,212,221,56,2,77
03.12.2010,501,325,136,65,4,86
02.12.2010,390,278,104,64,4,67
01.12.2010,477,329,155,61,8,70
30.11.2010,420,357,141,68,7,80
29.11.2010,497,339,216,99,6,128
28.11.2010,1063,178,605,91,11,152
27.11.2010,774,189,371,121,10,169
26.11.2010,770,435,287,109,7,133
25.11.2010,658,406,274,129,8,160
24.11.2010,655,430,259,117,9,131
23.11.2010,670,368,250,133,12,147
22.11.2010,757,323,348,145,11,159
21.11.2010,1250,282,666,85,13,101
20.11.2010,1045,211,531,108,16,109
19.11.2010,900,368,393,150,22,146
18.11.2010,713,394,282,137,10,158
17.11.2010,739,412,309,102,7,122
16.11.2010,758,446,298,102,12,113
15.11.2010,910,365,467,102,16,109
14.11.2010,1084,211,574,128,19,140
13.11.2010,983,177,508,117,18,137
12.11.2010,968,328,469,138,27,161
11.11.2010,974,219,483,75,10,95
10.11.2010,807,423,353,113,16,119
09.11.2010,736,354,286,121,17,128
08.11.2010,734,301,329,112,10,138
07.11.2010,1008,188,488,99,10,137
06.11.2010,935,178,467,125,18,139
05.11.2010,906,387,426,128,6,148
04.11.2010,850,372,315,137,18,148
03.11.2010,780,314,301,104,16,112
02.11.2010,867,379,371,88,8,95
01.11.2010,737,205,385,63,4,92
31.10.2010,1033,251,565,110,11,149
30.10.2010,994,245,519,109,13,138
29.10.2010,880,591,411,125,11,153
28.10.2010,794,444,338,85,8,96
27.10.2010,776,417,318,111,13,126
26.10.2010,873,373,355,102,8,100
25.10.2010,776,375,388,98,11,116
24.10.2010,1061,198,528,109,13,140
23.10.2010,1027,220,532,93,13,114
22.10.2010,868,404,396,114,8,152
21.10.2010,809,382,312,112,16,138
20.10.2010,868,480,351,89,12,97
19.10.2010,840,399,335,82,5,97
18.10.2010,837,353,430,99,17,107
17.10.2010,956,168,532,92,14,129
16.10.2010,1020,996,567,94,12,134
15.10.2010,808,347,400,129,11,142
14.10.2010,1289,477,542,149,19,178
13.10.2010,537,260,238,68,9,78
12.10.2010,590,264,269,83,27,91
11.10.2010,929,332,490,126,12,152
10.10.2010,1060,183,624,112,13,151
09.10.2010,1110,211,638,119,8,143
08.10.2010,891,364,459,119,12,148
07.10.2010,858,379,370,97,7,108
06.10.2010,822,370,348,97,7,108
05.10.2010,789,337,323,108,13,120
04.10.2010,800,292,387,130,8,143
03.10.2010,996,153,524,99,14,157
01.10.2010,724,299,340,82,12,100
02.10.2010,863,148,460,97,14,106
30.09.2010,677,325,290,116,9,139
29.09.2010,704,493,313,134,16,149
28.09.2010,694,403,294,118,12,142
27.09.2010,772,378,393,136,20,183
26.09.2010,1067,188,555,141,21,197
25.09.2010,1000,205,560,107,19,117
24.09.2010,868,366,451,121,10,151
23.09.2010,903,459,418,116,13,148
22.09.2010,802,358,382,132,15,147
21.09.2010,839,417,377,116,14,144
20.09.2010,871,318,430,108,10,136
19.09.2010,900,209,528,88,9,123
18.09.2010,921,176,513,125,18,166
17.09.2010,851,331,438,121,11,148
16.09.2010,829,327,370,102,10,114
15.09.2010,897,387,458,152,19,170
14.09.2010,824,393,380,105,16,125
13.09.2010,959,352,493,125,7,154
12.09.2010,1097,182,657,120,11,190
11.09.2010,1097,201,610,147,15,198
10.09.2010,1018,358,532,116,12,138
09.09.2010,848,329,369,123,15,143
08.09.2010,909,425,388,83,3,99
07.09.2010,710,374,341,93,19,104
06.09.2010,759,316,408,116,20,142
05.09.2010,969,156,564,123,9,172
04.09.2010,866,161,483,128,18,172
03.09.2010,775,389,353,135,14,162
02.09.2010,751,419,339,110,17,129
01.09.2010,683,413,297,108,13,120
31.08.2010,623,330,245,100,17,125
30.08.2010,784,306,385,116,7,165
29.08.2010,1056,160,599,103,16,144
28.08.2010,921,171,509,116,14,159
27.08.2010,869,361,394,178,11,246
26.08.2010,854,378,401,110,8,141
25.08.2010,841,376,393,107,11,123
24.08.2010,835,355,428,123,14,165
23.08.2010,976,333,526,123,22,140
22.08.2010,1065,156,674,120,11,157
21.08.2010,971,182,603,127,13,166
20.08.2010,899,316,490,150,14,184
19.08.2010,869,354,422,87,7,103
18.08.2010,840,355,396,108,10,126
17.08.2010,833,320,402,109,5,135
16.08.2010,962,294,553,160,21,216
15.08.2010,1184,190,760,129,12,204
14.08.2010,1218,175,802,142,18,177
13.08.2010,933,391,519,110,7,140
12.08.2010,971,372,519,122,17,142
11.08.2010,903,371,504,103,11,130
10.08.2010,967,357,500,113,11,142
09.08.2010,1016,278,508,133,18,170
08.08.2010,1131,182,679,110,12,175
07.08.2010,1008,186,554,152,19,202
06.08.2010,891,307,464,127,13,164
05.08.2010,901,372,422,83,8,109
04.08.2010,874,341,443,86,9,98
03.08.2010,830,310,415,123,14,152
02.08.2010,864,245,499,131,12,171
01.08.2010,1028,163,609,111,12,152
31.07.2010,959,169,509,115,9,133
30.07.2010,790,317,391,117,12,143
29.07.2010,755,365,354,104,8,136
28.07.2010,715,350,350,98,11,143
27.07.2010,757,320,356,89,8,120
26.07.2010,783,281,408,134,11,176
25.07.2010,872,150,494,100,10,168
25.07.2010,901,172,540,125,15,170
24.07.2010,849,296,452,130,14,165
22.07.2010,860,302,416,99,11,138
21.07.2010,892,377,443,94,4,126
20.07.2010,792,369,400,108,8,114
19.07.2010,827,296,323,102,12,163
18.07.2010,983,174,465,119,11,169
16.07.2010,933,334,341,127,9,178
17.07.2010,1060,196,390,117,12,158
15.07.2010,926,367,331,123,17,145
14.07.2010,904,364,461,123,7,159
13.07.2010,889,342,460,96,7,116
12.07.2010,952,282,584,127,16,179
11.07.2010,1161,164,728,133,19,198
10.07.2010,1229,202,655,125,5,146
09.07.2010,930,306,510,121,9,162
08.07.2010,902,362,456,103,4,128
07.07.2010,821,390,358,115,9,144
06.07.2010,814,341,364,115,9,141
05.07.2010,910,271,511,135,19,190
04.07.2010,1416,224,942,118,14,165
03.07.2010,1099,195,663,133,7,190
02.07.2010,889,272,487,137,5,174
01.07.2010,785,287,393,127,14,155
30.06.2010,878,319,431,132,20,155
29.06.2010,814,300,395,138,9,169
28.06.2010,942,313,499,148,13,181
27.06.2010,1078,164,611,119,18,158
26.06.2010,1063,182,621,123,12,176
25.06.2010,960,374,501,149,6,180
24.06.2010,842,413,412,134,9,164
23.06.2010,807,380,357,119,6,141
22.06.2010,824,357,387,89,5,109
21.06.2010,918,327,438,102,6,119
20.06.2010,1370,223,810,111,21,159
19.06.2010,967,242,550,113,9,157
18.06.2010,906,353,435,119,6,149
17.06.2010,765,425,311,130,9,166
16.06.2010,867,378,387,125,16,132
15.06.2010,854,349,385,110,11,136
14.06.2010,841,317,431,148,13,181
13.06.2010,1040,136,636,143,12,213
12.06.2010,1029,157,630,125,11,151
11.06.2010,952,281,518,160,7,191
10.06.2010,1051,371,479,110,6,124
09.06.2010,1122,389,656,117,3,145
10.06.2010,836,412,395,95,11,115
07.06.2010,921,308,474,112,13,120
06.06.2010,992,127,547,106,13,155
05.06.2010,943,161,572,121,10,142
04.06.2010,927,271,536,103,9,129
03.06.2010,853,197,476,79,3,97
02.06.2010,805,380,390,118,8,148
01.06.2010,768,330,369,74,3,85
31.05.2010,778,284,338,108,7,141
30.05.2010,969,160,565,124,10,187
29.05.2010,906,164,490,124,6,159
28.05.2010,819,357,405,119,8,138
27.05.2010,820,401,400,99,1,119
26.05.2010,828,395,377,101,6,115
25.05.2010,785,375,356,105,8,124
24.05.2010,881,274,455,98,9,125
23.05.2010,1098,171,621,122,8,168
22.05.2010,999,208,515,113,9,146
21.05.2010,861,327,464,117,5,139
20.05.2010,916,369,421,66,3,84
19.05.2010,763,356,322,83,9,108
18.05.2010,626,342,280,102,5,135
17.05.2010,653,320,331,97,6,123
16.05.2010,844,143,471,95,20,136
15.05.2010,879,178,502,101,7,127
14.05.2010,843,314,434,88,1,122
13.05.2010,891,362,421,106,6,132
12.05.2010,925,392,461,91,6,120
11.05.2010,883,343,424,111,8,141
10.05.2010,900,307,454,110,23,117
09.05.2010,1073,168,620,88,8,134
08.05.2010,1114,182,722,91,9,117
07.05.2010,831,332,385,94,10,100
06.05.2010,784,360,317,101,7,145
05.05.2010,774,313,330,79,8,98
04.05.2010,807,248,417,82,4,116
03.05.2010,904,143,529,88,10,128
02.05.2010,1093,152,636,102,6,141
01.05.2010,1114,173,702,105,11,135
30.04.2010,923,382,468,158,10,183
29.04.2010,898,483,440,87,5,96
28.04.2010,832,415,346,96,6,104
27.04.2010,843,391,382,106,4,129
26.04.2010,904,309,461,104,6,141
25.04.2010,949,139,543,134,8,168
24.04.2010,1027,161,574,99,12,125
23.04.2010,925,375,517,84,6,95
22.04.2010,864,398,402,75,4,90
21.04.2010,807,406,365,91,11,99
20.04.2010,895,418,401,86,5,102
19.04.2010,857,313,455,92,10,114
18.04.2010,1030,178,602,84,10,122
17.04.2010,933,193,491,76,5,94
16.04.2010,870,369,408,74,4,86
15.04.2010,908,409,440,77,3,84
14.04.2010,888,329,382,79,6,94
13.04.2010,897,411,423,72,8,89
12.04.2010,872,327,426,72,9,78
11.04.2010,827,146,415,59,6,92
10.04.2010,1088,197,564,70,5,94
09.04.2010,1005,333,493,92,9,106
08.04.2010,917,393,389,74,5,81
07.04.2010,942,398,410,82,11,107
06.04.2010,986,387,504,60,5,88
05.04.2010,795,151,457,62,8,91
04.04.2010,613,89,328,48,4,67
03.04.2010,864,215,485,79,9,98
02.04.2010,1033,534,525,103,6,138
01.04.2010,941,389,410,112,8,126
31.03.2010,923,389,405,84,9,101
30.03.2010,921,415,387,79,10,91
29.03.2010,898,360,403,83,11,99
28.03.2010,959,150,467,77,7,90
27.03.2010,1114,201,523,79,11,102
26.03.2010,1092,339,505,112,7,142
25.03.2010,1011,485,442,91,9,103
24.03.2010,980,469,415,62,7,70
23.03.2010,966,382,428,64,3,67
22.03.2010,975,394,448,82,8,95
21.03.2010,967,182,469,75,10,93
20.03.2010,1115,233,554,77,10,84
19.03.2010,1175,380,572,75,6,95
18.03.2010,979,420,415,71,9,81
17.03.2010,946,429,374,73,6,83
16.03.2010,849,392,351,74,3,99
15.03.2010,756,338,311,107,13,135
14.03.2010,820,165,405,61,4,97
13.03.2010,958,193,505,91,5,126
12.03.2010,909,367,382,83,8,92
11.03.2010,1010,453,411,57,5,69
10.03.2010,856,415,343,69,6,81
09.03.2010,877,408,380,51,5,57
08.03.2010,835,326,380,64,3,78
06.03.2010,798,180,391,94,6,128
07.03.2010,823,155,375,42,2,58
05.03.2010,837,366,358,109,3,173
04.03.2010,961,428,412,88,7,106
03.03.2010,856,307,399,79,10,89
02.03.2010,863,374,341,53,4,69
01.03.2010,744,329,309,54,6,62
28.02.2010,869,162,436,73,7,93
27.02.2010,846,179,364,69,5,95
26.02.2010,936,373,380,100,10,136
25.02.2010,324,432,837,82,8,98
24.02.2010,813,496,298,62,3,92
23.02.2010,722,466,239,68,5,81
22.02.2010,603,408,203,60,10,79
20.02.2010,713,205,289,49,5,66
21.02.2010,780,163,317,47,3,65
19.02.2010,741,370,245,81,4,107
18.02.2010,718,439,225,61,3,69
17.02.2010,758,377,237,47,6,54
16.02.2010,721,405,242,56,5,82
15.02.2010,610,377,226,53,4,71
14.02.2010,698,144,314,47,2,76
13.02.2010,725,177,254,68,8,98
12.02.2010,669,359,225,78,2,111
11.02.2010,701,409,212,95,10,113
10.02.2010,706,457,221,45,4,51
09.02.2010,699,414,204,52,3,66
08.02.2010,573,360,203,57,5,60
07.02.2010,584,170,271,20,2,25
06.02.2010,689,237,313,58,4,81
05.02.2010,857,493,363,73,3,93
04.02.2010,738,383,240,74,2,95
03.02.2010,601,376,167,80,3,107
02.02.2010,664,390,190,55,9,70
01.02.2010,561,340,175,69,8,92
31.01.2010,557,166,236,43,3,62
30.01.2010,400,163,217,60,6,70
29.01.2010,527,422,150,70,2,120
28.01.2010,486,408,127,84,8,106
27.01.2010,556,406,147,64,6,83
26.01.2010,478,359,148,56,9,69
25.01.2010,429,352,142,55,8,62
24.01.2010,456,124,201,33,0,49
23.01.2010,479,181,217,45,2,51
22.01.2010,529,376,173,44,9,54
21.01.2010,530,451,166,55,2,65
20.01.2010,587,468,183,64,1,72
19.01.2010,538,425,161,88,10,109
18.01.2010,488,344,162,71,7,87
17.01.2010,556,158,209,44,5,55
16.01.2010,551,198,213,55,3,65
15.01.2010,610,416,187,55,5,67
14.01.2010,569,405,188,55,2,64
13.01.2010,603,397,190,52,3,56
12.01.2010,551,372,170,66,7,91
11.01.2010,535,313,200,52,5,60
10.01.2010,518,167,196,49,1,78
10.01.2010,519,139,189,69,4,116
09.01.2010,569,325,225,77,5,101
07.01.2010,573,415,192,67,4,85
06.01.2010,469,400,131,66,5,85
05.01.2010,500,369,151,66,6,79
04.01.2010,428,324,163,45,3,49
03.01.2010,441,121,184,39,0,69
02.01.2010,439,123,173,45,7,64
01.01.2010,804,140,411,56,5,82
31.12.2009,482,195,189,82,6,107
30.12.2009,617,408,221,79,8,104
29.12.2009,622,455,233,81,8,107
28.12.2009,633,569,235,117,11,151
26.12.2009,510,99,249,62,9,86
27.12.2009,537,171,283,71,9,109
25.12.2009,397,89,182,49,5,62
24.12.2009,498,278,237,69,13,81
23.12.2009,589,375,255,151,11,184
22.12.2009,603,365,229,126,15,154
21.12.2009,435,329,164,106,7,128
20.12.2009,474,165,211,50,4,65
19.12.2009,524,204,232,64,7,82
18.12.2009,477,303,172,86,6,100
17.12.2009,541,355,186,109,9,126
16.12.2009,641,401,242,73,4,81
15.12.2009,637,382,230,100,7,129
14.12.2009,660,328,273,107,8,141
13.12.2009,776,175,388,75,13,83
12.12.2009,794,216,412,109,16,124
11.12.2009,878,377,419,100,18,104
10.12.2009,825,430,362,113,18,121
09.12.2009,711,358,315,113,12,139
08.12.2009,940,417,455,131,12,142
07.12.2009,683,351,286,156,11,183
06.12.2009,760,168,393,92,15,113
05.12.2009,867,189,412,104,21,113
04.12.2009,805,348,356,106,10,126
03.12.2009,715,391,316,122,10,139
02.12.2009,743,383,317,142,10,187
01.12.2009,812,355,347,109,15,155
30.11.2009,759,322,406,122,16,138
29.11.2009,1088,175,605,91,13,132
28.11.2009,943,192,493,108,13,139
27.11.2009,816,481,333,116,17,129
26.11.2009,800,453,324,104,16,105
25.11.2009,818,426,329,126,14,146
24.11.2009,653,462,305,146,19,165
23.11.2009,720,347,366,122,12,139
22.11.2009,934,181,489,82,7,109
21.11.2009,970,200,457,120,12,150
20.11.2009,835,376,414,113,13,118
19.11.2009,770,481,333,88,10,100
18.11.2009,812,338,324,118,13,120
17.11.2009,715,407,293,117,10,141
16.11.2009,685,361,324,94,11,106
15.11.2009,890,198,470,89,7,134
14.11.2009,931,200,461,110,16,148
13.11.2009,850,415,385,113,17,118
12.11.2009,804,357,379,140,11,174
11.11.2009,797,192,405,109,16,137
10.11.2009,828,375,393,128,7,154
09.11.2009,693,335,324,135,16,157
08.11.2009,998,167,528,96,10,131
07.11.2009,853,186,438,113,10,145
06.11.2009,761,337,368,118,12,141
05.11.2009,701,384,295,123,9,154
04.11.2009,676,334,304,109,11,129
03.11.2009,623,359,259,86,8,100
02.11.2009,612,336,299,98,3,120
01.11.2009,743,224,387,68,6,89
31.10.2009,910,245,465,118,12,172
30.10.2009,795,540,365,102,15,113
29.10.2009,768,462,352,120,14,136
28.10.2009,833,435,365,146,18,163
27.10.2009,774,386,333,137,9,162
26.10.2009,766,378,349,94,15,116
25.10.2009,987,137,568,100,4,127
24.10.2009,1022,193,630,138,19,186
23.10.2009,888,425,468,104,7,118
22.10.2009,847,474,387,111,10,131
21.10.2009,741,411,341,89,8,102
20.10.2009,792,377,358,114,6,150
19.10.2009,749,339,376,103,12,115
18.10.2009,892,179,502,86,11,119
17.10.2009,764,219,446,123,24,131
16.10.2009,719,375,322,133,6,158
15.10.2009,678,359,311,121,1,143
14.10.2009,630,328,269,130,6,167
13.10.2009,665,363,329,129,10,171
12.10.2009,1279,379,637,234,30,317
11.10.2009,1231,155,763,166,26,239
10.10.2009,259,38,132,27,2,41
09.10.2009,943,358,483,123,19,135
08.10.2009,932,398,461,122,19,140
07.10.2009,889,419,463,133,16,153
06.10.2009,832,382,407,143,13,180
05.10.2009,2070,426,1238,274,27,355
03.10.2009,233,45,106,30,0,43
02.10.2009,871,334,425,149,14,156
01.10.2009,752,358,363,143,10,170
30.09.2009,690,382,305,117,7,138
29.09.2009,781,350,349,126,6,189
28.09.2009,837,361,418,125,8,145
27.09.2009,1051,184,636,119,20,167
26.09.2009,1009,193,513,151,18,192
25.09.2009,867,401,492,112,10,156
24.09.2009,897,562,426,95,4,115
23.09.2009,887,418,447,102,12,154
22.09.2009,885,381,412,107,13,115
21.09.2009,804,356,462,128,9,157
20.09.2009,1127,195,662,152,19,217
19.09.2009,789,197,459,105,11,130
18.09.2009,844,387,428,134,15,149
17.09.2009,880,428,438,119,9,139
16.09.2009,898,377,442,105,10,111
15.09.2009,833,415,442,122,11,130
14.09.2009,929,336,525,129,16,154
13.09.2009,1038,153,655,130,18,166
12.09.2009,1047,207,612,130,21,172
11.09.2009,973,394,578,137,8,172
10.09.2009,970,466,539,134,10,172
09.09.2009,882,367,468,106,4,121
08.09.2009,870,365,447,111,7,127
07.09.2009,917,286,489,108,14,142
06.09.2009,990,145,639,101,9,162
05.09.2009,909,210,560,135,7,173
04.09.2009,840,374,446,132,10,171
03.09.2009,889,350,435,98,11,111
02.09.2009,842,382,432,102,12,126
01.09.2009,783,310,395,128,6,144
31.08.2009,957,289,522,147,10,176
30.08.2009,1818,220,1143,250,30,365
29.08.2009,246,34,163,24,4,23
28.08.2009,945,416,541,128,13,159
27.08.2009,942,351,493,114,5,146
26.08.2009,843,413,428,120,8,156
25.08.2009,831,369,442,125,9,149
24.08.2009,864,311,524,133,19,156
23.08.2009,1059,185,624,105,7,152
22.08.2009,1020,214,613,110,16,142
21.08.2009,948,320,559,140,19,168
20.08.2009,820,383,442,118,15,136
19.08.2009,802,360,426,121,7,135
18.08.2009,883,313,441,107,11,134
17.08.2009,901,284,497,124,11,162
16.08.2009,1085,143,690,122,14,206
15.08.2009,989,178,613,128,8,168
14.08.2009,873,327,474,139,12,183
13.08.2009,894,476,320,90,12,108
12.08.2009,864,353,463,113,10,150
11.08.2009,915,313,449,124,11,180
10.08.2009,870,282,478,122,19,150
09.08.2009,1081,156,716,124,19,176
08.08.2009,1042,203,642,127,21,147
07.08.2009,981,332,582,146,6,201
